step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
20000,0,20000,1.3101604278074865,0.3381090686183423,0.98,854.0120179653168
40000,0,40000,1.2721649484536082,0.2305099542615935,0.96,1552.3522503376007
60000,0,60000,1.2774957698815568,0.20135516979508103,0.94,2240.354276895523
80000,0,80000,1.2883787661406025,0.19189284421419725,0.92,2929.9939777851105
100000,0,100000,1.3017456359102244,0.1901629860726744,0.9,3622.9145426750183
120000,0,120000,1.3152654867256637,0.19259100214348485,0.88,4346.088863372803
140000,0,140000,1.3194856577645895,0.19676278428887684,0.86,5035.879481554031
160000,0,160000,1.2976827094474153,0.20336073555224576,0.84,5729.1232216358185
180000,0,180000,1.2969894222945484,0.21063047479776045,0.8200000000000001,6450.907182216644
200000,1,200000,1.293193717277487,0.2185530460684374,0.8,7173.945887327194
220000,1,220000,1.4134615384615385,0.3047059059232473,0.78,7926.694691896439
240000,1,240000,1.3601895734597156,0.31604874871075156,0.76,8647.007905960083
260000,1,260000,1.375796178343949,0.32371589938501516,0.74,9368.551035165787
280000,1,280000,1.4057971014492754,0.33208735056519506,0.72,10086.992769002914
300000,1,300000,1.4177949709864603,0.34424936390280725,0.7,10805.743239402771
320000,1,320000,1.4433656957928802,0.35880339576601983,0.6799999999999999,11555.298242807388
340000,1,340000,1.456824512534819,0.37091328163232123,0.6599999999999999,12276.996001958847
360000,1,360000,1.441747572815534,0.38135933168306946,0.64,12995.377217769623
380000,1,380000,1.4609544468546638,0.39106772961947656,0.62,13687.684730052948
400000,2,400000,1.4847890088321885,0.3999354989686608,0.6,14382.383429765701
420000,2,420000,1.5858585858585859,0.4998435154676437,0.5800000000000001,15133.687525749207
440000,2,440000,1.507462686567164,0.506060654579103,0.56,15853.61024403572
460000,2,460000,1.5671140939597314,0.5098006346732378,0.54,16547.198927640915
480000,2,480000,1.5552763819095476,0.51455139882043,0.52,17263.529168128967
500000,2,500000,1.557344064386318,0.5172680969804525,0.5,17986.014025449753
520000,2,520000,1.5606060606060606,0.5227566031490763,0.48,18736.76146173477
540000,2,540000,1.571843251088534,0.5306411538920233,0.45999999999999996,19456.580518484116
560000,2,560000,1.590561224489796,0.5368430326487869,0.43999999999999995,20133.221909046173
580000,2,580000,1.6063708759954494,0.5456277349647548,0.42000000000000004,20820.659848451614
600000,3,600000,1.6286008230452675,0.5535603083017469,0.4,21535.349405765533
620000,3,620000,1.6526315789473685,0.6330220204412937,0.38,22280.54395198822
640000,3,640000,1.7659574468085106,0.6373359719485044,0.36,22995.313635349274
660000,3,660000,1.9054545454545455,0.6345647383650144,0.33999999999999997,23714.37125134468
680000,3,680000,1.8373333333333333,0.6325838719755411,0.31999999999999995,24434.389795303345
700000,3,700000,1.8418803418803418,0.6339269141113758,0.30000000000000004,25119.394706249237
720000,3,720000,1.81657848324515,0.6377176100283861,0.28,25826.066308259964
740000,3,740000,1.8008982035928143,0.6423954563498497,0.26,26505.806074619293
760000,3,760000,1.9036144578313252,0.6464801520474255,0.24,27176.69155550003
780000,3,780000,2.0730816077953715,0.6524696662425995,0.21999999999999997,27859.562602043152
800000,4,800000,2.238202247191011,0.6567788210731744,0.19999999999999996,28544.13152861595
820000,4,820000,4.217391304347826,0.727670860016346,0.18000000000000005,29261.57688856125
840000,4,840000,3.6688741721854305,0.7437301110029221,0.16000000000000003,29923.338012695312
860000,4,860000,3.6051502145922747,0.7644140181203684,0.14,30620.193822860718
880000,4,880000,3.473846153846154,0.7767026979923248,0.12,31331.191885471344
900000,4,900000,3.360381861575179,0.7916844330465793,0.1,32016.89507675171
920000,4,920000,3.2782101167315174,0.8065363242447376,0.1,32731.53153204918
940000,4,940000,3.298831385642738,0.820391070495333,0.1,33416.378363370895
960000,4,960000,3.369661266568483,0.8383547500237822,0.1,34087.23771357536
980000,4,980000,3.5194109772423023,0.8602200118362904,0.1,34770.529448509216
1000000,5,1000000,3.6031746031746033,0.881402738417387,0.1,35456.84166955948
1020000,5,1020000,4.16,1.1206259010910988,0.1,36174.33416771889
1040000,5,1040000,5.066666666666666,1.125922116357088,0.1,36857.214713573456
1060000,5,1060000,5.721925133689839,1.1261994623502096,0.1,37544.308460235596
1080000,5,1080000,5.922448979591837,1.1189520264536141,0.1,38204.8531703949
1100000,5,1100000,6.339041095890411,1.1108126344752312,0.1,38887.70762729645
1120000,5,1120000,6.71513353115727,1.1091026640151938,0.1,39602.90804719925
1140000,5,1140000,7.073107049608355,1.1094096650106566,0.1,40286.35955238342
1160000,5,1160000,7.323255813953488,1.113674947662279,0.1,40971.44997930527
1180000,5,1180000,7.571729957805907,1.1225556474874416,0.1,41655.51883649826
1200000,6,1200000,7.7398843930635834,1.13268800886482,0.1,42339.7585606575
1220000,6,1220000,9.704545454545455,1.237015449142456,0.1,43053.98735308647
1240000,6,1240000,9.965116279069768,1.2412012945055961,0.1,43714.35242009163
1260000,6,1260000,10.25,1.259529642171661,0.1,44375.93098926544
1280000,6,1280000,10.00578034682081,1.273150105580315,0.1,45062.410902023315
1300000,6,1300000,10.383886255924171,1.283863385950327,0.1,45746.01075363159
1320000,6,1320000,10.573705179282868,1.3022585622181495,0.1,46472.11978125572
1340000,6,1340000,10.9375,1.3061096852821963,0.1,47157.38424563408
1360000,6,1360000,11.332298136645962,1.3085674128016458,0.1,47841.25063228607
1380000,6,1380000,11.473537604456824,1.3131249308455322,0.1,48528.40895628929
1400000,7,1400000,11.612090680100756,1.3192414941062778,0.1,49213.03230547905
1420000,7,1420000,13.794117647058824,1.3949527180075645,0.1,49934.45996928215
1440000,7,1440000,14.791044776119403,1.3973688020952046,0.1,50594.701298713684
1460000,7,1460000,14.83,1.4173080881406863,0.1,51256.344678640366
1480000,7,1480000,15.121212121212121,1.431329817327112,0.1,51915.68678879738
1500000,7,1500000,15.56441717791411,1.439570313206017,0.1,52576.93258857727
1520000,7,1520000,15.574358974358974,1.4540245618619025,0.1,53268.4232571125
1540000,7,1540000,15.928571428571429,1.4658148600150431,0.1,53953.22940349579
1560000,7,1560000,16.125984251968504,1.4764484668247402,0.1,54632.12362718582
1580000,7,1580000,16.302816901408452,1.4860055271557635,0.1,55317.07858109474
1600000,8,1600000,16.493589743589745,1.496145905520171,0.1,56000.84610962868
1620000,8,1620000,19.642857142857142,1.588844285221398,0.1,56714.05543756485
1640000,8,1640000,18.448275862068964,1.6076191338703036,0.1,57385.619309425354
1660000,8,1660000,19.290697674418606,1.6127655558784804,0.1,58068.554277420044
1680000,8,1680000,18.85217391304348,1.6297500591311604,0.1,58753.408868312836
1700000,8,1700000,19.293706293706293,1.637906300508678,0.1,59438.07734012604
1720000,8,1720000,19.729411764705883,1.6478476322588822,0.1,60157.82567071915
1740000,8,1740000,20.415384615384614,1.6565253712149604,0.1,60842.44348192215
1760000,8,1760000,20.381165919282513,1.6658663890791126,0.1,61528.04868745804
1780000,8,1780000,20.526104417670684,1.6779478467173874,0.1,62210.64957165718
1800000,9,1800000,20.810909090909092,1.6930275159148127,0.1,62894.69261813164
1820000,9,1820000,24.12,1.8258322439834476,0.1,63615.389948129654
1840000,9,1840000,23.92156862745098,1.8355601972959936,0.1,64299.73499298096
1860000,9,1860000,25.37837837837838,1.8251117196184894,0.1,64982.917224407196
1880000,9,1880000,25.336734693877553,1.8380622586755082,0.1,65657.13726973534
1900000,9,1900000,25.66393442622951,1.8416123612938822,0.1,66342.25990867615
1920000,9,1920000,25.35135135135135,1.8511700667303055,0.1,67060.2067964077
1940000,9,1940000,26.18235294117647,1.8530940949543246,0.1,67743.19407606125
1960000,9,1960000,26.025641025641026,1.8639323751202785,0.1,68426.94558978081
1980000,9,1980000,25.704545454545453,1.8716949913107686,0.1,69112.63597869873
2000000,10,2000000,25.909465020576132,1.876098836288154,0.1,69789.33486533165
2020000,10,2020000,28.956521739130434,1.938447755602002,0.1,70512.36803340912
2040000,10,2040000,29.19148936170213,1.968539765265584,0.1,71198.5196094513
2060000,10,2060000,27.685714285714287,1.992607111908992,0.1,71882.47073221207
2080000,10,2080000,28.06451612903226,2.0005698004491625,0.1,72566.47393989563
2100000,10,2100000,28.68695652173913,2.014678805500269,0.1,73236.98653078079
2120000,10,2120000,30.616541353383457,2.0285861620840926,0.1,73952.7532260418
2140000,10,2140000,31.064935064935064,2.045155872145295,0.1,74638.85528850555
2160000,10,2160000,31.388571428571428,2.0639372771363704,0.1,75323.39001727104
2180000,10,2180000,31.653061224489797,2.0837009424259265,0.1,76009.73392558098
2200000,11,2200000,31.798165137614678,2.096759822050594,0.1,76693.45658373833
2220000,11,2220000,34.476190476190474,2.294711165049672,0.1,77380.85939621925
2240000,11,2240000,33.95238095238095,2.2923615634411574,0.1,78065.24423027039
2260000,11,2260000,31.954545454545453,2.312063318176195,0.1,78750.55589914322
2280000,11,2280000,30.93258426966292,2.321218163930066,0.1,79436.8980205059
2300000,11,2300000,30.90909090909091,2.3302568895961344,0.1,80121.06088018417
2320000,11,2320000,31.328244274809162,2.335415743874883,0.1,80835.64764595032
2340000,11,2340000,32.19205298013245,2.3452062130007363,0.1,81520.2243821621
2360000,11,2360000,32.25730994152047,2.346934312407719,0.1,82206.20643496513
2380000,11,2380000,32.43523316062176,2.3505160507964176,0.1,82891.8308107853
2400000,12,2400000,32.48372093023256,2.356475757222362,0.1,83577.11934351921
2420000,12,2420000,37.9,2.473300507519394,0.1,84294.55685067177
2440000,12,2440000,36.073170731707314,2.4740714082829656,0.1,84953.89037418365
2460000,12,2460000,33.859375,2.495792885993421,0.1,85614.1366481781
2480000,12,2480000,33.45977011494253,2.4947882198955864,0.1,86272.46972298622
2500000,12,2500000,35.46666666666667,2.5060661576995256,0.1,86952.07380795479
2520000,12,2520000,35.91129032258065,2.514156999700144,0.1,87663.60511875153
2540000,12,2540000,35.45890410958904,2.520265017957347,0.1,88328.71517300606
2560000,12,2560000,35.44578313253012,2.5204929595479744,0.1,89011.9098212719
2580000,12,2580000,36.12432432432433,2.524213060480853,0.1,89697.1490149498
2600000,13,2600000,36.0873786407767,2.5310678435830773,0.1,90368.33635878563
2620000,13,2620000,38.45,2.5582484060302377,0.1,91076.38342428207
2640000,13,2640000,38.51282051282051,2.570714845559746,0.1,91762.74107217789
2660000,13,2660000,38.60344827586207,2.5795552226155998,0.1,92445.53703141212
2680000,13,2680000,38.84415584415584,2.5964081724707038,0.1,93129.52976894379
2700000,13,2700000,39.77894736842105,2.59819408662349,0.1,93812.47856283188
2720000,13,2720000,40.13157894736842,2.5978028963466486,0.1,94529.38294935226
2740000,13,2740000,39.074074074074076,2.6166519765919873,0.1,95190.47606945038
2760000,13,2760000,38.13375796178344,2.624205114049092,0.1,95851.66919517517
2780000,13,2780000,38.23295454545455,2.634595091468758,0.1,96531.50248980522
2800000,14,2800000,37.80808080808081,2.648339240346402,0.1,97209.99171257019
2820000,14,2820000,41.166666666666664,2.6479572595879435,0.1,98010.39779186249
2840000,14,2840000,37.48717948717949,2.7050663471236827,0.1,98684.20293092728
2860000,14,2860000,37.71186440677966,2.7284385238558055,0.1,99375.39227437973
2880000,14,2880000,36.375,2.73764985296987,0.1,100066.36251592636
2900000,14,2900000,35.833333333333336,2.7433021958729626,0.1,100779.51636505127
2920000,14,2920000,35.71311475409836,2.751869847508023,0.1,101516.86317372322
